ten_lo,ma_loai_nong_san,ma_vung_trong,san_luong_du_kien,san_luong_thuc_thu,ngay_gieo_trong,ngay_thu_hoach,hoat_dong_canh_tac,vat_tu,so_luong,don_vi,ngay_thuc_hien,ghi_chu
Lô Bưởi Vụ 6 2026 - Dòng 105,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1550,,22/10/2026,22/04/2026,PLANTING,,0,lan,22/10/2026,
Lô Sầu Riêng Vụ 6 2026 - Dòng 106,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1560,1248,23/11/2026,23/05/2026,FERTILIZING,Cây giống cà phê,16,lít,23/11/2026,Ghi chú dòng 106
Lô Mít Vụ 6 2026 - Dòng 107,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1570,1256,24/12/2026,24/06/2026,WATERING,Cây xoài Tứ Quý,17,cây,24/12/2026,Ghi chú dòng 107
Lô Chôm Chôm Vụ 6 2026 - Dòng 108,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1580,1264,25/01/2026,25/07/2026,PESTICIDE,,0,lan,25/01/2026,
Lô Nhãn Vụ 6 2026 - Dòng 109,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1590,1272,26/02/2026,26/08/2026,WEEDING,Cây giống bưởi,19,trụ,26/02/2026,Ghi chú dòng 109
Lô Lúa Vụ 6 2026 - Dòng 110,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1600,,27/03/2026,27/09/2026,HARVESTING,Giống lúa OM5451,20,kg,27/03/2026,Ghi chú dòng 110
Lô Rau Muống Vụ 6 2026 - Dòng 111,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1610,1288,28/04/2026,28/10/2026,OTHER,,0,lan,28/04/2026,
Lô Cà Phê Vụ 6 2026 - Dòng 112,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1620,1296,01/05/2026,01/11/2026,PLANTING,Thuốc trừ sâu sinh học,22,cây,01/05/2026,Ghi chú dòng 112
Lô Xoài Vụ 6 2026 - Dòng 113,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1630,1304,02/06/2026,02/12/2026,FERTILIZING,Phân Kali,23,lan,02/06/2026,Ghi chú dòng 113
Lô Thanh Long Vụ 6 2026 - Dòng 114,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1640,1312,03/07/2026,03/01/2026,WATERING,,0,lan,03/07/2026,
Lô Bưởi Vụ 6 2026 - Dòng 115,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1650,,04/08/2026,04/02/2026,PESTICIDE,Hạt giống rau muống,25,kg,04/08/2026,Ghi chú dòng 115
Lô Sầu Riêng Vụ 6 2026 - Dòng 116,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1660,1328,05/09/2026,05/03/2026,WEEDING,Cây giống cà phê,26,lít,05/09/2026,Ghi chú dòng 116
Lô Mít Vụ 6 2026 - Dòng 117,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1670,1336,06/10/2026,06/04/2026,HARVESTING,,0,lan,06/10/2026,
Lô Chôm Chôm Vụ 6 2026 - Dòng 118,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1680,1344,07/11/2026,07/05/2026,OTHER,Trụ thanh long,28,lan,07/11/2026,Ghi chú dòng 118
Lô Nhãn Vụ 6 2026 - Dòng 119,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1690,1352,08/12/2026,08/06/2026,PLANTING,Cây giống bưởi,29,trụ,08/12/2026,Ghi chú dòng 119
Lô Lúa Vụ 7 2026 - Dòng 120,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1700,,09/01/2026,09/07/2026,FERTILIZING,,0,lan,09/01/2026,
Lô Rau Muống Vụ 7 2026 - Dòng 121,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1710,1368,10/02/2026,10/08/2026,WATERING,Phân NPK 16-16-8,31,lít,10/02/2026,Ghi chú dòng 121
Lô Cà Phê Vụ 7 2026 - Dòng 122,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1720,1376,11/03/2026,11/09/2026,PESTICIDE,Thuốc trừ sâu sinh học,32,cây,11/03/2026,Ghi chú dòng 122
Lô Xoài Vụ 7 2026 - Dòng 123,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1730,1384,12/04/2026,12/10/2026,WEEDING,,0,lan,12/04/2026,
Lô Thanh Long Vụ 7 2026 - Dòng 124,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1740,1392,13/05/2026,13/11/2026,HARVESTING,Phân hữu cơ vi sinh,34,trụ,13/05/2026,Ghi chú dòng 124
Lô Bưởi Vụ 7 2026 - Dòng 125,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1750,,14/06/2026,14/12/2026,OTHER,Hạt giống rau muống,35,kg,14/06/2026,Ghi chú dòng 125
Lô Sầu Riêng Vụ 7 2026 - Dòng 126,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1760,1408,15/07/2026,15/01/2026,PLANTING,,0,lan,15/07/2026,
Lô Mít Vụ 7 2026 - Dòng 127,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1770,1416,16/08/2026,16/02/2026,FERTILIZING,Cây xoài Tứ Quý,37,cây,16/08/2026,Ghi chú dòng 127
Lô Chôm Chôm Vụ 7 2026 - Dòng 128,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1780,1424,17/09/2026,17/03/2026,WATERING,Trụ thanh long,38,lan,17/09/2026,Ghi chú dòng 128
Lô Nhãn Vụ 7 2026 - Dòng 129,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1790,1432,18/10/2026,18/04/2026,PESTICIDE,,0,lan,18/10/2026,
Lô Lúa Vụ 7 2026 - Dòng 130,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1800,,19/11/2026,19/05/2026,WEEDING,Giống lúa OM5451,40,kg,19/11/2026,Ghi chú dòng 130
Lô Rau Muống Vụ 7 2026 - Dòng 131,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1810,1448,20/12/2026,20/06/2026,HARVESTING,Phân NPK 16-16-8,41,lít,20/12/2026,Ghi chú dòng 131
Lô Cà Phê Vụ 7 2026 - Dòng 132,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1820,1456,21/01/2026,21/07/2026,OTHER,,0,lan,21/01/2026,
Lô Xoài Vụ 7 2026 - Dòng 133,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1830,1464,22/02/2026,22/08/2026,PLANTING,Phân Kali,43,lan,22/02/2026,Ghi chú dòng 133
Lô Thanh Long Vụ 7 2026 - Dòng 134,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1840,1472,23/03/2026,23/09/2026,FERTILIZING,Phân hữu cơ vi sinh,44,trụ,23/03/2026,Ghi chú dòng 134
Lô Bưởi Vụ 7 2026 - Dòng 135,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1850,,24/04/2026,24/10/2026,WATERING,,0,lan,24/04/2026,
Lô Sầu Riêng Vụ 7 2026 - Dòng 136,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1860,1488,25/05/2026,25/11/2026,PESTICIDE,Cây giống cà phê,46,lít,25/05/2026,Ghi chú dòng 136
Lô Mít Vụ 7 2026 - Dòng 137,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1870,1496,26/06/2026,26/12/2026,WEEDING,Cây xoài Tứ Quý,47,cây,26/06/2026,Ghi chú dòng 137
Lô Chôm Chôm Vụ 7 2026 - Dòng 138,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1880,1504,27/07/2026,27/01/2026,HARVESTING,,0,lan,27/07/2026,
Lô Nhãn Vụ 7 2026 - Dòng 139,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1890,1512,28/08/2026,28/02/2026,OTHER,Cây giống bưởi,49,trụ,28/08/2026,Ghi chú dòng 139
Lô Lúa Vụ 8 2026 - Dòng 140,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1900,,01/09/2026,01/03/2026,PLANTING,Giống lúa OM5451,50,kg,01/09/2026,Ghi chú dòng 140
Lô Rau Muống Vụ 8 2026 - Dòng 141,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1910,1528,02/10/2026,02/04/2026,FERTILIZING,,0,lan,02/10/2026,
Lô Cà Phê Vụ 8 2026 - Dòng 142,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1920,1536,03/11/2026,03/05/2026,WATERING,Thuốc trừ sâu sinh học,52,cây,03/11/2026,Ghi chú dòng 142
Lô Xoài Vụ 8 2026 - Dòng 143,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1930,1544,04/12/2026,04/06/2026,PESTICIDE,Phân Kali,53,lan,04/12/2026,Ghi chú dòng 143
Lô Thanh Long Vụ 8 2026 - Dòng 144,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1940,1552,05/01/2026,05/07/2026,WEEDING,,0,lan,05/01/2026,
Lô Bưởi Vụ 8 2026 - Dòng 145,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1950,,06/02/2026,06/08/2026,HARVESTING,Hạt giống rau muống,55,kg,06/02/2026,Ghi chú dòng 145
Lô Sầu Riêng Vụ 8 2026 - Dòng 146,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1960,1568,07/03/2026,07/09/2026,OTHER,Cây giống cà phê,56,lít,07/03/2026,Ghi chú dòng 146
Lô Mít Vụ 8 2026 - Dòng 147,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1970,1576,08/04/2026,08/10/2026,PLANTING,,0,lan,08/04/2026,
Lô Chôm Chôm Vụ 8 2026 - Dòng 148,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1980,1584,09/05/2026,09/11/2026,FERTILIZING,Trụ thanh long,58,lan,09/05/2026,Ghi chú dòng 148
Lô Nhãn Vụ 8 2026 - Dòng 149,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1990,1592,10/06/2026,10/12/2026,WATERING,Cây giống bưởi,59,trụ,10/06/2026,Ghi chú dòng 149
Lô Lúa Vụ 8 2026 - Dòng 150,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2000,,11/07/2026,11/01/2026,PESTICIDE,,0,lan,11/07/2026,
Lô Rau Muống Vụ 8 2026 - Dòng 151,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2010,1608,12/08/2026,12/02/2026,WEEDING,Phân NPK 16-16-8,11,lít,12/08/2026,Ghi chú dòng 151
Lô Cà Phê Vụ 8 2026 - Dòng 152,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2020,1616,13/09/2026,13/03/2026,HARVESTING,Thuốc trừ sâu sinh học,12,cây,13/09/2026,Ghi chú dòng 152
Lô Xoài Vụ 8 2026 - Dòng 153,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2030,1624,14/10/2026,14/04/2026,OTHER,,0,lan,14/10/2026,
Lô Thanh Long Vụ 8 2026 - Dòng 154,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2040,1632,15/11/2026,15/05/2026,PLANTING,Phân hữu cơ vi sinh,14,trụ,15/11/2026,Ghi chú dòng 154
Lô Bưởi Vụ 8 2026 - Dòng 155,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2050,,16/12/2026,16/06/2026,FERTILIZING,Hạt giống rau muống,15,kg,16/12/2026,Ghi chú dòng 155
Lô Sầu Riêng Vụ 8 2026 - Dòng 156,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2060,1648,17/01/2026,17/07/2026,WATERING,,0,lan,17/01/2026,
Lô Mít Vụ 8 2026 - Dòng 157,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2070,1656,18/02/2026,18/08/2026,PESTICIDE,Cây xoài Tứ Quý,17,cây,18/02/2026,Ghi chú dòng 157
Lô Chôm Chôm Vụ 8 2026 - Dòng 158,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2080,1664,19/03/2026,19/09/2026,WEEDING,Trụ thanh long,18,lan,19/03/2026,Ghi chú dòng 158
Lô Nhãn Vụ 8 2026 - Dòng 159,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2090,1672,20/04/2026,20/10/2026,HARVESTING,,0,lan,20/04/2026,
Lô Lúa Vụ 9 2026 - Dòng 160,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2100,,21/05/2026,21/11/2026,OTHER,Giống lúa OM5451,20,kg,21/05/2026,Ghi chú dòng 160
Lô Rau Muống Vụ 9 2026 - Dòng 161,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2110,1688,22/06/2026,22/12/2026,PLANTING,Phân NPK 16-16-8,21,lít,22/06/2026,Ghi chú dòng 161
Lô Cà Phê Vụ 9 2026 - Dòng 162,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2120,1696,23/07/2026,23/01/2026,FERTILIZING,,0,lan,23/07/2026,
Lô Xoài Vụ 9 2026 - Dòng 163,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2130,1704,24/08/2026,24/02/2026,WATERING,Phân Kali,23,lan,24/08/2026,Ghi chú dòng 163
Lô Thanh Long Vụ 9 2026 - Dòng 164,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2140,1712,25/09/2026,25/03/2026,PESTICIDE,Phân hữu cơ vi sinh,24,trụ,25/09/2026,Ghi chú dòng 164
Lô Bưởi Vụ 9 2026 - Dòng 165,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2150,,26/10/2026,26/04/2026,WEEDING,,0,lan,26/10/2026,
Lô Sầu Riêng Vụ 9 2026 - Dòng 166,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2160,1728,27/11/2026,27/05/2026,HARVESTING,Cây giống cà phê,26,lít,27/11/2026,Ghi chú dòng 166
Lô Mít Vụ 9 2026 - Dòng 167,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2170,1736,28/12/2026,28/06/2026,OTHER,Cây xoài Tứ Quý,27,cây,28/12/2026,Ghi chú dòng 167
Lô Chôm Chôm Vụ 9 2026 - Dòng 168,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2180,1744,01/01/2026,01/07/2026,PLANTING,,0,lan,01/01/2026,
Lô Nhãn Vụ 9 2026 - Dòng 169,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2190,1752,02/02/2026,02/08/2026,FERTILIZING,Cây giống bưởi,29,trụ,02/02/2026,Ghi chú dòng 169
Lô Lúa Vụ 9 2026 - Dòng 170,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2200,,03/03/2026,03/09/2026,WATERING,Giống lúa OM5451,30,kg,03/03/2026,Ghi chú dòng 170
Lô Rau Muống Vụ 9 2026 - Dòng 171,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2210,1768,04/04/2026,04/10/2026,PESTICIDE,,0,lan,04/04/2026,
Lô Cà Phê Vụ 9 2026 - Dòng 172,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2220,1776,05/05/2026,05/11/2026,WEEDING,Thuốc trừ sâu sinh học,32,cây,05/05/2026,Ghi chú dòng 172
Lô Xoài Vụ 9 2026 - Dòng 173,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2230,1784,06/06/2026,06/12/2026,HARVESTING,Phân Kali,33,lan,06/06/2026,Ghi chú dòng 173
Lô Thanh Long Vụ 9 2026 - Dòng 174,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2240,1792,07/07/2026,07/01/2026,OTHER,,0,lan,07/07/2026,
Lô Bưởi Vụ 9 2026 - Dòng 175,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2250,,08/08/2026,08/02/2026,PLANTING,Hạt giống rau muống,35,kg,08/08/2026,Ghi chú dòng 175
Lô Sầu Riêng Vụ 9 2026 - Dòng 176,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2260,1808,09/09/2026,09/03/2026,FERTILIZING,Cây giống cà phê,36,lít,09/09/2026,Ghi chú dòng 176
Lô Mít Vụ 9 2026 - Dòng 177,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2270,1816,10/10/2026,10/04/2026,WATERING,,0,lan,10/10/2026,
Lô Chôm Chôm Vụ 9 2026 - Dòng 178,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2280,1824,11/11/2026,11/05/2026,PESTICIDE,Trụ thanh long,38,lan,11/11/2026,Ghi chú dòng 178
Lô Nhãn Vụ 9 2026 - Dòng 179,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2290,1832,12/12/2026,12/06/2026,WEEDING,Cây giống bưởi,39,trụ,12/12/2026,Ghi chú dòng 179
Lô Lúa Vụ 10 2026 - Dòng 180,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2300,,13/01/2026,13/07/2026,HARVESTING,,0,lan,13/01/2026,
Lô Rau Muống Vụ 10 2026 - Dòng 181,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2310,1848,14/02/2026,14/08/2026,OTHER,Phân NPK 16-16-8,41,lít,14/02/2026,Ghi chú dòng 181
Lô Cà Phê Vụ 10 2026 - Dòng 182,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2320,1856,15/03/2026,15/09/2026,PLANTING,Thuốc trừ sâu sinh học,42,cây,15/03/2026,Ghi chú dòng 182
Lô Xoài Vụ 10 2026 - Dòng 183,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2330,1864,16/04/2026,16/10/2026,FERTILIZING,,0,lan,16/04/2026,
Lô Thanh Long Vụ 10 2026 - Dòng 184,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2340,1872,17/05/2026,17/11/2026,WATERING,Phân hữu cơ vi sinh,44,trụ,17/05/2026,Ghi chú dòng 184
Lô Bưởi Vụ 10 2026 - Dòng 185,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2350,,18/06/2026,18/12/2026,PESTICIDE,Hạt giống rau muống,45,kg,18/06/2026,Ghi chú dòng 185
Lô Sầu Riêng Vụ 10 2026 - Dòng 186,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2360,1888,19/07/2026,19/01/2026,WEEDING,,0,lan,19/07/2026,
Lô Mít Vụ 10 2026 - Dòng 187,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2370,1896,20/08/2026,20/02/2026,HARVESTING,Cây xoài Tứ Quý,47,cây,20/08/2026,Ghi chú dòng 187
Lô Chôm Chôm Vụ 10 2026 - Dòng 188,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2380,1904,21/09/2026,21/03/2026,OTHER,Trụ thanh long,48,lan,21/09/2026,Ghi chú dòng 188
Lô Nhãn Vụ 10 2026 - Dòng 189,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2390,1912,22/10/2026,22/04/2026,PLANTING,,0,lan,22/10/2026,
Lô Lúa Vụ 10 2026 - Dòng 190,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2400,,23/11/2026,23/05/2026,FERTILIZING,Giống lúa OM5451,50,kg,23/11/2026,Ghi chú dòng 190
Lô Rau Muống Vụ 10 2026 - Dòng 191,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2410,1928,24/12/2026,24/06/2026,WATERING,Phân NPK 16-16-8,51,lít,24/12/2026,Ghi chú dòng 191
Lô Cà Phê Vụ 10 2026 - Dòng 192,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2420,1936,25/01/2026,25/07/2026,PESTICIDE,,0,lan,25/01/2026,
Lô Xoài Vụ 10 2026 - Dòng 193,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2430,1944,26/02/2026,26/08/2026,WEEDING,Phân Kali,53,lan,26/02/2026,Ghi chú dòng 193
Lô Thanh Long Vụ 10 2026 - Dòng 194,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2440,1952,27/03/2026,27/09/2026,HARVESTING,Phân hữu cơ vi sinh,54,trụ,27/03/2026,Ghi chú dòng 194
Lô Bưởi Vụ 10 2026 - Dòng 195,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2450,,28/04/2026,28/10/2026,OTHER,,0,lan,28/04/2026,
Lô Sầu Riêng Vụ 10 2026 - Dòng 196,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,2460,1968,01/05/2026,01/11/2026,PLANTING,Cây giống cà phê,56,lít,01/05/2026,Ghi chú dòng 196
Lô Mít Vụ 10 2026 - Dòng 197,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,2470,1976,02/06/2026,02/12/2026,FERTILIZING,Cây xoài Tứ Quý,57,cây,02/06/2026,Ghi chú dòng 197
Lô Chôm Chôm Vụ 10 2026 - Dòng 198,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,2480,1984,03/07/2026,03/01/2026,WATERING,,0,lan,03/07/2026,
Lô Nhãn Vụ 10 2026 - Dòng 199,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,2490,1992,04/08/2026,04/02/2026,PESTICIDE,Cây giống bưởi,59,trụ,04/08/2026,Ghi chú dòng 199
Lô Lúa Vụ 11 2026 - Dòng 200,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,2500,,05/09/2026,05/03/2026,WEEDING,Giống lúa OM5451,10,kg,05/09/2026,Ghi chú dòng 200
